,Anchor,Concept1,Concept2,Category,estimated_tokens,real_tokens,prompt,gpt_response,gpt_choice
0,Nail,Boa python,Snake,tool,40.0,40,"Answer using only only word - ""Boa python"" or ""Snake"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","

Snake.",Snake
1,Oil can,Grinding disk,Hammer,tool,42.0,41,"Answer using only only word - ""Grinding disk"" or ""Hammer"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","

Grinding disk.",Grinding disk
2,Gecko,Axe,Vacuum,reptile,39.0,41,"Answer using only only word - ""Axe"" or ""Vacuum"" and not ""Gecko"".Which is more similar in meaning to ""Gecko""?","

Axe",Axe
3,Paint brush,Lizard,Spanner,tool,43.0,43,"Answer using only only word - ""Lizard"" or ""Spanner"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","

Lizard",Lizard
4,Alligator,Gecko,Salamander,reptile,42.0,41,"Answer using only only word - ""Gecko"" or ""Salamander"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?","

Gecko",Gecko
5,Paint brush,Chisel,Toad,tool,42.0,42,"Answer using only only word - ""Chisel"" or ""Toad"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","

Chisel",Chisel
6,Anvil,Caiman,Tortoise,tool,40.0,41,"Answer using only only word - ""Caiman"" or ""Tortoise"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","

Caiman",Caiman
7,Shovel,Caiman,Crocodile,tool,41.0,44,"Answer using only only word - ""Caiman"" or ""Crocodile"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","

Caiman",Caiman
8,Cobra,Boa python,Turtle,reptile,40.0,43,"Answer using only only word - ""Boa python"" or ""Turtle"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?","

Boa python",Boa python
9,Shovel,Alligator,Spanner,tool,41.0,43,"Answer using only only word - ""Alligator"" or ""Spanner"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","

Spanner.",Spanner
10,Toad,Caiman,Tortoise,reptile,39.0,41,"Answer using only only word - ""Caiman"" or ""Tortoise"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","

Caiman",Caiman
11,Chameleon,Cobra,Shovel,reptile,41.0,44,"Answer using only only word - ""Cobra"" or ""Shovel"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","

Cobra",Cobra
12,Anvil,Chisel,Grinding disk,tool,41.0,41,"Answer using only only word - ""Chisel"" or ""Grinding disk"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","

Chisel",Chisel
13,Saw,Alligator,Caiman,tool,39.0,40,"Answer using only only word - ""Alligator"" or ""Caiman"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","

Alligator",Alligator
14,Paint brush,Lawn Mower,Lizard,tool,43.0,44,"Answer using only only word - ""Lawn Mower"" or ""Lizard"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","

Lizard",Lizard
15,Caiman,Gecko,Paint brush,reptile,41.0,41,"Answer using only only word - ""Gecko"" or ""Paint brush"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","

Gecko",Gecko
16,Dinosaur,Anvil,Crocodile,reptile,41.0,42,"Answer using only only word - ""Anvil"" or ""Crocodile"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","

Crocodile",Crocodile
17,Anvil,Lizard,Toad,tool,39.0,40,"Answer using only only word - ""Lizard"" or ""Toad"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","

Lizard",Lizard
18,Blindworm,Anvil,Axe,reptile,40.0,42,"Answer using only only word - ""Anvil"" or ""Axe"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?","

Axe",Axe
19,Snake,Caiman,Knife,reptile,39.0,38,"Answer using only only word - ""Caiman"" or ""Knife"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","

Caiman",Caiman
20,Hammer,Blindworm,Lizard,tool,41.0,41,"Answer using only only word - ""Blindworm"" or ""Lizard"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","

Lizard",Lizard
21,Knife,Crocodile,Turtle,tool,40.0,42,"Answer using only only word - ""Crocodile"" or ""Turtle"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","

Crocodile",Crocodile
22,Lizard,Snake,Spanner,reptile,40.0,40,"Answer using only only word - ""Snake"" or ""Spanner"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","

Snake",Snake
23,Oil can,Chisel,Crocodile,tool,41.0,42,"Answer using only only word - ""Chisel"" or ""Crocodile"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","

Chisel",Chisel
24,Tortoise,Blindworm,Paint brush,reptile,43.0,44,"Answer using only only word - ""Blindworm"" or ""Paint brush"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","

Blindworm",Blindworm
25,Tortoise,Grinding disk,Oil can,reptile,43.0,43,"Answer using only only word - ""Grinding disk"" or ""Oil can"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","

Grinding disk",Grinding disk
26,Lawn Mower,Chameleon,Nail,tool,42.0,45,"Answer using only only word - ""Chameleon"" or ""Nail"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","

Chameleon",Chameleon
