,Anchor,Concept1,Concept2,Category,estimated_tokens,real_tokens,prompt,gpt_response,gpt_choice
0,Anvil,Caiman,Tortoise,tool,40.0,37,"Answer using only only word - ""Caiman"" or ""Tortoise"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","

Caiman",Caiman
1,Alligator,Gecko,Salamander,reptile,42.0,37,"Answer using only only word - ""Gecko"" or ""Salamander"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?","

Gecko",Gecko
2,Nail,Boa python,Snake,tool,40.0,35,"Answer using only only word - ""Boa python"" or ""Snake"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","

Snake",Snake
3,Shovel,Caiman,Crocodile,tool,41.0,42,"Answer using only only word - ""Caiman"" or ""Crocodile"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","

Crocodile",Crocodile
4,Gecko,Axe,Vacuum,reptile,39.0,37,"Answer using only only word - ""Axe"" or ""Vacuum"" and not ""Gecko"".Which is more similar in meaning to ""Gecko""?","

Axe",Axe
5,Paint brush,Chisel,Toad,tool,42.0,38,"Answer using only only word - ""Chisel"" or ""Toad"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","

Chisel",Chisel
6,Paint brush,Lizard,Spanner,tool,43.0,39,"Answer using only only word - ""Lizard"" or ""Spanner"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","

Lizard",Lizard
7,Chameleon,Cobra,Shovel,reptile,41.0,41,"Answer using only only word - ""Cobra"" or ""Shovel"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","

Cobra",Cobra
8,Toad,Caiman,Tortoise,reptile,39.0,37,"Answer using only only word - ""Caiman"" or ""Tortoise"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","

Caiman",Caiman
9,Saw,Alligator,Caiman,tool,39.0,36,"Answer using only only word - ""Alligator"" or ""Caiman"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","

Alligator",Alligator
10,Hammer,Blindworm,Lizard,tool,41.0,37,"Answer using only only word - ""Blindworm"" or ""Lizard"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","

Lizard",Lizard
