,Anchor,Concept1,Concept2,Category,prompt,gpt_response,gpt_choice
0,Shovel,Alligator,Spanner,tool,"Answer using only only word - ""Alligator"" or ""Spanner"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?",Alligator,Alligator
1,Anvil,Caiman,Tortoise,tool,"Answer using only only word - ""Caiman"" or ""Tortoise"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","turtle""",fill manually
2,Nail,Boa python,Snake,tool,"Answer using only only word - ""Boa python"" or ""Snake"" and not ""Nail"".Which is more similar in meaning to ""Nail""?",snakes are a type of lizard,fill manually
3,Paint brush,Chisel,Toad,tool,"Answer using only only word - ""Chisel"" or ""Toad"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","Toad""",Toad
4,Shovel,Caiman,Crocodile,tool,"Answer using only only word - ""Caiman"" or ""Crocodile"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","Caiman""",Caiman
5,Alligator,Gecko,Salamander,reptile,"Answer using only only word - ""Gecko"" or ""Salamander"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?","Gecko""",Gecko
6,Cobra,Boa python,Turtle,reptile,"Answer using only only word - ""Boa python"" or ""Turtle"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?",boa python,fill manually
7,Oil can,Grinding disk,Hammer,tool,"Answer using only only word - ""Grinding disk"" or ""Hammer"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","Hammer""",Hammer
8,Paint brush,Lizard,Spanner,tool,"Answer using only only word - ""Lizard"" or ""Spanner"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","ssa""",fill manually
9,Gecko,Axe,Vacuum,reptile,"Answer using only only word - ""Axe"" or ""Vacuum"" and not ""Gecko"".Which is more similar in meaning to ""Gecko""?",Axe,Axe
10,Toad,Caiman,Tortoise,reptile,"Answer using only only word - ""Caiman"" or ""Tortoise"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Toad""",Fill manually
11,Chameleon,Cobra,Shovel,reptile,"Answer using only only word - ""Cobra"" or ""Shovel"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","Cobra""",Cobra
12,Anvil,Chisel,Grinding disk,tool,"Answer using only only word - ""Chisel"" or ""Grinding disk"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","Anvil""",Fill manually
13,Saw,Alligator,Caiman,tool,"Answer using only only word - ""Alligator"" or ""Caiman"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","Alligator""",Alligator
14,Paint brush,Lawn Mower,Lizard,tool,"Answer using only only word - ""Lawn Mower"" or ""Lizard"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?",lawn mower,fill manually
15,Hammer,Blindworm,Lizard,tool,"Answer using only only word - ""Blindworm"" or ""Lizard"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","Hammer""",Fill manually
16,Blindworm,Anvil,Axe,reptile,"Answer using only only word - ""Anvil"" or ""Axe"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?",Anvil,Anvil
17,Dinosaur,Anvil,Crocodile,reptile,"Answer using only only word - ""Anvil"" or ""Crocodile"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","Anvil""",Anvil
18,Knife,Crocodile,Turtle,tool,"Answer using only only word - ""Crocodile"" or ""Turtle"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","Crocodile""",Crocodile
19,Anvil,Lizard,Toad,tool,"Answer using only only word - ""Lizard"" or ""Toad"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","Toad""",Toad
20,Lizard,Snake,Spanner,reptile,"Answer using only only word - ""Snake"" or ""Spanner"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","Snake""",Snake
21,Caiman,Gecko,Paint brush,reptile,"Answer using only only word - ""Gecko"" or ""Paint brush"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","Paint brush""",Paint brush
22,Snake,Caiman,Knife,reptile,"Answer using only only word - ""Caiman"" or ""Knife"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","Snake""",Fill manually
23,Knife,Caiman,Crocodile,tool,"Answer using only only word - ""Caiman"" or ""Crocodile"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","Caiman""",Caiman
24,Lawn Mower,Chameleon,Nail,tool,"Answer using only only word - ""Chameleon"" or ""Nail"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","Nail""",Nail
25,Lizard,Turtle,Vacuum,reptile,"Answer using only only word - ""Turtle"" or ""Vacuum"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","Li""",fill manually
26,Gecko,Chisel,Knife,reptile,"Answer using only only word - ""Chisel"" or ""Knife"" and not ""Gecko"".Which is more similar in meaning to ""Gecko""?","Chisel""",Chisel
27,Tortoise,Blindworm,Paint brush,reptile,"Answer using only only word - ""Blindworm"" or ""Paint brush"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","Blindworm""",Blindworm
28,Dinosaur,Gecko,Knife,reptile,"Answer using only only word - ""Gecko"" or ""Knife"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","D""",fill manually
