,feature,dataset
0,appears_in_comics,animal_only
1,breeds_rapidly,animal_only
2,builds_nests_at_high_altitude,animal_only
3,"can_be_brown,_black,_white,_grey",animal_only
4,can_be_fed,animal_only
5,can_be_lethal_to_man,animal_only
6,can_be_taught_tricks,animal_only
7,can_eat_people,animal_only
8,can_live_for_a_long_time_without_food,animal_only
9,can_open_its_tail,animal_only
10,carries_a_ring,animal_only
11,children_like_to_catch_them,animal_only
12,collects_nuts,animal_only
13,comes_up_when_it_rains,animal_only
14,crawls_up_trees,animal_only
15,descends_from_wolves,animal_only
16,does_not_smell_well,animal_only
17,doesn't_herd,animal_only
18,eats_berries,animal_only
19,eats_food_for_fish,animal_only
20,eats_hay,animal_only
21,eats_salad,animal_only
22,external_skeleton,animal_only
23,filtrate_food_out_of_the_water_with_its_bill,animal_only
24,flies_in_formation,animal_only
25,fluffy,animal_only
26,good_sense_of_smell,animal_only
27,has_a_'collar'_in_its_neck,animal_only
28,has_a_flat_head,both
29,has_an_oval_shape,animal_only
30,has_downy_hair,animal_only
31,has_fat_legs,animal_only
32,has_gnawing_teeth,animal_only
33,has_legs,animal_only
34,has_other_name:_drosophila,animal_only
35,has_small_paws,animal_only
36,has_winter_and_summerfur,animal_only
37,in_a_terrarium,animal_only
38,"in_dutch_expression:_once_bitten,_twice_shy",animal_only
39,Indians_or_Afrikan,animal_only
40,inspiration_for_Batman,animal_only
41,is_a_prototypical_bird,animal_only
42,is_a_type_of_fly,animal_only
43,is_also_referred_to_as_eel,animal_only
44,is_coloured,animal_only
45,is_cute_when_it's_young,animal_only
46,is_difficult_to_remove_from_one's_body,animal_only
47,is_eaten_as_first-course,animal_only
48,is_female,animal_only
49,is_found_in_earth,animal_only
50,is_found_on_dogs_and_cats,animal_only
51,is_kept_by_a_pigeon_fancier,animal_only
52,is_mostly_grey_brown,animal_only
53,is_not_a_pet,animal_only
54,is_not_poisonous,animal_only
55,is_popular_and_appreciated,animal_only
56,is_seasonal,animal_only
57,is_served_as_rings_from_cephalopod,animal_only
58,is_short_haired,animal_only
59,is_spectacular,animal_only
60,is_the_main_character_in_'Flipper',animal_only
61,is_unhygienic,animal_only
62,is_used_as_food_for_reptiles,animal_only
63,is_used_to_make_cod-liver_oil,animal_only
64,it_is_sometimes_put_in_a_basket,animal_only
