<<<<<<< HEAD
,Anchor,Concept1,Concept2,Category,estimated_tokens,real_tokens,prompt,gpt_response,gpt_choice
0,Axe,Chameleon,Grinding disk,tool,41.0,42,"Answer using only only word - ""Chameleon"" or ""Grinding disk"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","

Chameleon",Chameleon
1,Vacuum,Crocodile,Salamander,tool,42.0,45,"Answer using only only word - ""Crocodile"" or ""Salamander"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?","

Crocodile",Crocodile
2,Oil can,Hammer,Lawn Mower,tool,41.0,42,"Answer using only only word - ""Hammer"" or ""Lawn Mower"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","

Hammer",Hammer
3,Blindworm,Anvil,Spanner,reptile,41.0,43,"Answer using only only word - ""Anvil"" or ""Spanner"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?","

Anvil",Anvil
4,Chameleon,Spanner,Toad,reptile,41.0,43,"Answer using only only word - ""Spanner"" or ""Toad"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","

Spanner",Spanner
5,Anvil,Gecko,Spanner,tool,39.0,41,"Answer using only only word - ""Gecko"" or ""Spanner"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","

Gecko",Gecko
6,Toad,Caiman,Hammer,reptile,39.0,40,"Answer using only only word - ""Caiman"" or ""Hammer"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","

Caiman",Caiman
7,Chameleon,Salamander,Vacuum,reptile,42.0,44,"Answer using only only word - ""Salamander"" or ""Vacuum"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","

Salamander",Salamander
8,Vacuum,Saw,Screwdriver,tool,40.0,43,"Answer using only only word - ""Saw"" or ""Screwdriver"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?","

Saw",Saw
9,Crocodile,Cobra,Paint brush,reptile,42.0,46,"Answer using only only word - ""Cobra"" or ""Paint brush"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","

Cobra",Cobra
10,Paint brush,Caiman,Gecko,tool,42.0,42,"Answer using only only word - ""Caiman"" or ""Gecko"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","

Caiman",Caiman
11,Blindworm,Lizard,Spanner,reptile,42.0,43,"Answer using only only word - ""Lizard"" or ""Spanner"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?","

Lizard",Lizard
12,Boa python,Knife,Snake,reptile,41.0,41,"Answer using only only word - ""Knife"" or ""Snake"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?","

Snake",Snake
13,Nail,Lawn Mower,Vacuum,tool,40.0,43,"Answer using only only word - ""Lawn Mower"" or ""Vacuum"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","

Lawn Mower",Lawn Mower
14,Axe,Snake,Tortoise,tool,39.0,40,"Answer using only only word - ""Snake"" or ""Tortoise"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","

Snake",Snake
15,Boa python,Anvil,Blindworm,reptile,42.0,43,"Answer using only only word - ""Anvil"" or ""Blindworm"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?","

Anvil",Anvil
16,Axe,Cobra,Lizard,tool,38.0,41,"Answer using only only word - ""Cobra"" or ""Lizard"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","

Cobra",Cobra
17,Toad,Boa python,Lawn Mower,reptile,41.0,43,"Answer using only only word - ""Boa python"" or ""Lawn Mower"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","

Boa python",Boa python
18,Tortoise,Blindworm,Screwdriver,reptile,43.0,44,"Answer using only only word - ""Blindworm"" or ""Screwdriver"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","

Blindworm",Blindworm
19,Shovel,Crocodile,Nail,tool,40.0,44,"Answer using only only word - ""Crocodile"" or ""Nail"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","

Nail",Nail
20,Snake,Axe,Oil can,reptile,39.0,38,"Answer using only only word - ""Axe"" or ""Oil can"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","

Axe",Axe
21,Cobra,Chisel,Turtle,reptile,39.0,42,"Answer using only only word - ""Chisel"" or ""Turtle"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?","

Turtle",Turtle
22,Shovel,Blindworm,Tortoise,tool,41.0,44,"Answer using only only word - ""Blindworm"" or ""Tortoise"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","

Tortoise",Tortoise
23,Boa python,Cobra,Vacuum,reptile,42.0,44,"Answer using only only word - ""Cobra"" or ""Vacuum"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?","

Cobra",Cobra
